NTEM7_Zone_ID,NTEM7_Zone_Code,NTMv2R_Zone_Number
674,E02000180,2
675,E02000181,2
676,E02000182,2
677,E02000183,2
678,E02000184,2
679,E02000185,2
680,E02000186,2
681,E02000187,2
682,E02000188,2
683,E02000189,2
684,E02000190,2
685,E02000191,2
686,E02000192,2
687,E02000193,2
688,E02000194,3
689,E02000195,3
690,E02000196,3
691,E02000197,3
692,E02000198,3
693,E02000199,3
694,E02000200,3
695,E02000201,3
696,E02000202,3
697,E02000203,3
698,E02000204,3
699,E02000206,3
700,E02000207,3
701,E02000208,3
702,E02000209,3
703,E02000210,3
704,E02000211,3
705,E02000212,3
706,E02000213,3
707,E02000214,3
708,E02000215,3
709,E02000216,3
710,E02000217,3
711,E02000218,3
712,E02000219,3
713,E02000220,3
714,E02000221,3
715,E02000222,3
716,E02000223,3
717,E02000224,3
718,E02000225,3
719,E02000226,3
720,E02000227,3
721,E02000228,3
722,E02000229,3
723,E02000230,3
724,E02000231,3
725,E02000232,3
726,E02000233,3
727,E02000234,3
728,E02000235,3
729,E02000236,3
730,E02000237,3
731,E02000238,3
732,E02000239,3
733,E02000240,3
734,E02000241,3
735,E02000242,3
736,E02000243,3
737,E02000244,3
738,E02000245,3
739,E02000246,3
740,E02000247,3
741,E02000248,3
742,E02000249,3
743,E02000250,3
744,E02000251,3
745,E02000252,3
746,E02000253,3
747,E02000254,3
748,E02000255,3
749,E02000256,3
750,E02000257,3
751,E02000258,3
752,E02000259,3
753,E02000260,3
754,E02000261,3
755,E02000262,3
756,E02000263,3
757,E02000264,3
758,E02000265,3
759,E02000266,3
760,E02000267,3
761,E02000268,3
762,E02000269,3
763,E02000270,3
764,E02000271,3
765,E02000272,3
766,E02000274,3
767,E02000275,3
768,E02000276,3
769,E02000277,3
770,E02000278,3
771,E02000279,3
772,E02000280,3
773,E02000281,3
774,E02000282,3
775,E02000283,3
776,E02000284,3
777,E02000285,3
778,E02000286,3
779,E02000287,3
780,E02000288,3
781,E02000289,3
782,E02000290,3
783,E02000291,3
784,E02000292,3
785,E02000293,3
786,E02000294,3
787,E02000295,3
788,E02000296,3
789,E02000297,3
790,E02000298,3
791,E02000299,3
792,E02000300,3
793,E02000301,3
794,E02000302,3
795,E02000303,3
796,E02000304,3
797,E02000305,3
798,E02000306,3
799,E02000307,3
800,E02000308,3
801,E02000309,3
802,E02000311,3
803,E02000312,3
804,E02000313,3
805,E02000314,3
806,E02000315,3
807,E02000316,3
808,E02000317,3
809,E02000318,3
810,E02000319,3
811,E02000320,3
812,E02000321,3
813,E02000323,3
814,E02000324,3
815,E02000326,3
816,E02000327,3
817,E02000328,3
818,E02000329,3
819,E02000331,3
820,E02000332,3
821,E02000333,3
822,E02000334,3
823,E02000335,3
824,E02000337,3
825,E02000339,3
826,E02000340,3
827,E02000341,3
828,E02000342,3
829,E02000343,3
830,E02000344,3
831,E02000345,2
832,E02000346,2
833,E02000347,2
834,E02000348,2
835,E02000350,2
836,E02000351,2
837,E02000352,2
838,E02000353,2
839,E02000354,2
840,E02000355,2
841,E02000356,2
842,E02000357,2
843,E02000358,2
844,E02000359,2
845,E02000360,2
846,E02000361,2
847,E02000362,2
848,E02000363,2
849,E02000364,2
850,E02000365,2
851,E02000366,2
852,E02000367,2
853,E02000368,2
854,E02000369,2
855,E02000370,2
856,E02000371,2
857,E02000372,2
858,E02000373,2
859,E02000374,2
860,E02000375,2
861,E02000376,2
862,E02000377,2
863,E02000378,2
1150,E02000673,2
1151,E02000674,2
1152,E02000675,2
1153,E02000676,2
1154,E02000677,2
1155,E02000678,2
1156,E02000679,2
1157,E02000680,2
1158,E02000681,2
1159,E02000682,2
1160,E02000683,2
1161,E02000685,2
1162,E02000686,2
1163,E02000687,2
1164,E02000689,3
1165,E02000690,3
1166,E02000691,3
1167,E02000692,3
1168,E02000693,3
1169,E02000694,3
1170,E02000695,3
1171,E02000696,3
1172,E02000697,3
1173,E02000698,3
1174,E02000699,3
1175,E02000700,3
1384,E02000917,3
1385,E02000918,3
1386,E02000919,3
1387,E02000920,3
1388,E02000921,3
1389,E02000922,3
1390,E02000923,2
1391,E02000924,2
1392,E02000925,2
1393,E02000926,2
1394,E02000927,2
1395,E02000928,2
1396,E02000929,2
1397,E02000930,2
1398,E02000931,2
1399,E02000932,2
1400,E02000933,2
1401,E02000934,2
1402,E02000935,2
1403,E02000936,2
1404,E02000937,2
1405,E02000938,2
1406,E02000939,2
1407,E02000940,2
1408,E02000941,2
1409,E02000942,2
2710,E02002271,6
2711,E02002272,6
2712,E02002273,6
2713,E02002274,6
2714,E02002275,6
2715,E02002276,6
2716,E02002277,6
2717,E02002278,6
2718,E02002279,6
2719,E02002280,6
2720,E02002281,6
2721,E02002282,6
2722,E02002283,6
2723,E02002284,6
2724,E02002285,6
2725,E02002286,6
2726,E02002287,6
2727,E02002288,6
2728,E02002289,6
2729,E02002290,6
2730,E02002291,6
2731,E02002292,6
2732,E02002293,6
2733,E02002294,6
2734,E02002295,6
2735,E02002296,6
3256,E02002831,8
3257,E02002832,8
3258,E02002833,8
3259,E02002834,8
3260,E02002835,8
3261,E02002836,8
3262,E02002837,8
3263,E02002838,8
3264,E02002839,8
3265,E02002842,8
3266,E02002843,8
3267,E02002844,8
3268,E02002845,8
3269,E02002846,8
3270,E02002847,8
3271,E02002848,8
3272,E02002849,8
3273,E02002851,8
3274,E02002852,8
3275,E02002853,8
3276,E02002854,8
3277,E02002855,8
3278,E02002856,8
3279,E02002857,8
3280,E02002858,8
3281,E02002860,8
4501,E02004098,17
4502,E02004100,17
4503,E02004102,17
4504,E02004103,17
4505,E02004104,17
4506,E02004105,17
4507,E02004106,17
4508,E02004108,17
4509,E02004109,17
