NTM_Zone,NTM_Purpose,NTM_HH,NTM_Person,loFlow,Income_Prop
5,3,1,1,41,1
5,3,2,1,42,1
5,3,3,1,43,1
5,3,4,1,44,1
5,3,5,1,45,1
5,3,1,2,46,1
5,3,2,2,47,1
5,3,3,2,48,1
5,3,4,2,49,1
5,3,5,2,50,1
5,3,1,3,51,1
5,3,2,3,52,1
5,3,3,3,53,1
5,3,4,3,54,1
5,3,5,3,55,1
5,3,1,4,56,1
5,3,2,4,57,1
5,3,3,4,58,1
5,3,4,4,59,1
5,3,5,4,60,1
5,4,1,1,61,1
5,4,2,1,62,1
5,4,3,1,63,1
5,4,4,1,64,1
5,4,5,1,65,1
5,4,1,2,66,1
5,4,2,2,67,1
5,4,3,2,68,1
5,4,4,2,69,1
5,4,5,2,70,1
5,4,1,3,71,1
5,4,2,3,72,1
5,4,3,3,73,1
5,4,4,3,74,1
5,4,5,3,75,1
5,4,1,4,76,1
5,4,2,4,77,1
5,4,3,4,78,1
5,4,4,4,79,1
5,4,5,4,80,1
5,5,1,1,81,1
5,5,2,1,82,1
5,5,3,1,83,1
5,5,4,1,84,1
5,5,5,1,85,1
5,5,1,2,86,1
5,5,2,2,87,1
5,5,3,2,88,1
5,5,4,2,89,1
5,5,5,2,90,1
5,5,1,3,91,1
5,5,2,3,92,1
5,5,3,3,93,1
5,5,4,3,94,1
5,5,5,3,95,1
5,5,1,4,96,1
5,5,2,4,97,1
5,5,3,4,98,1
5,5,4,4,99,1
5,5,5,4,100,1
5,6,0,0,101,1
5,7,0,0,102,0.644131139
5,7,0,0,103,0.189146485
5,7,0,0,104,0.166722376
5,8,0,0,105,1
6,1,1,2,1,0.429215581
6,1,2,2,2,0.547381366
6,1,3,2,3,0.321438054
6,1,4,2,4,0.420518749
6,1,5,2,5,0.507441711
6,1,1,2,6,0.313292025
6,1,2,2,7,0.343431638
6,1,3,2,8,0.390997769
6,1,4,2,9,0.377969332
6,1,5,2,10,0.356084673
6,1,1,2,11,0.257492394
6,1,2,2,12,0.109186996
6,1,3,2,13,0.287564177
6,1,4,2,14,0.201511919
6,1,5,2,15,0.136473616
6,1,1,1,16,1
6,1,2,1,17,1
6,1,3,1,18,1
6,1,4,1,19,1
6,1,5,1,20,1
6,1,1,3,16,1
6,1,2,3,17,1
6,1,3,3,18,1
6,1,4,3,19,1
6,1,5,3,20,1
6,1,1,4,16,1
6,1,2,4,17,1
6,1,3,4,18,1
6,1,4,4,19,1
6,1,5,4,20,1
6,2,1,2,21,0.630136726
6,2,2,2,22,0.591289737
6,2,3,2,23,0.507597786
6,2,4,2,24,0.500245293
6,2,5,2,25,0.625275815
6,2,1,2,26,0.074152211
6,2,2,2,27,0.243948029
6,2,3,2,28,0.266330098
6,2,4,2,29,0.305823966
6,2,5,2,30,0.255991977
6,2,1,2,31,0.295711063
6,2,2,2,32,0.164762234
6,2,3,2,33,0.226072115
6,2,4,2,34,0.193930741
6,2,5,2,35,0.118732208
6,2,1,1,36,1
6,2,2,1,37,1
6,2,3,1,38,1
6,2,4,1,39,1
6,2,5,1,40,1
6,2,1,3,36,1
6,2,2,3,37,1
6,2,3,3,38,1
6,2,4,3,39,1
6,2,5,3,40,1
6,2,1,4,36,1
6,2,2,4,37,1
6,2,3,4,38,1
6,2,4,4,39,1
6,2,5,4,40,1
6,3,1,1,41,1
6,3,2,1,42,1
6,3,3,1,43,1
6,3,4,1,44,1
6,3,5,1,45,1
6,3,1,2,46,1
6,3,2,2,47,1
6,3,3,2,48,1
6,3,4,2,49,1
6,3,5,2,50,1
6,3,1,3,51,1
6,3,2,3,52,1
6,3,3,3,53,1
6,3,4,3,54,1
6,3,5,3,55,1
6,3,1,4,56,1
6,3,2,4,57,1
6,3,3,4,58,1
6,3,4,4,59,1
6,3,5,4,60,1
6,4,1,1,61,1
6,4,2,1,62,1
6,4,3,1,63,1
6,4,4,1,64,1
6,4,5,1,65,1
6,4,1,2,66,1
6,4,2,2,67,1
6,4,3,2,68,1
6,4,4,2,69,1
6,4,5,2,70,1
6,4,1,3,71,1
6,4,2,3,72,1
6,4,3,3,73,1
6,4,4,3,74,1
6,4,5,3,75,1
6,4,1,4,76,1
6,4,2,4,77,1
6,4,3,4,78,1
6,4,4,4,79,1
6,4,5,4,80,1
6,5,1,1,81,1
6,5,2,1,82,1
6,5,3,1,83,1
6,5,4,1,84,1
