Index,Factor,DB,Purp,HH,vOffset,hOffset,Dbprop
22,2072,10,5,2,24,10,1.89%
23,2073,10,5,3,25,10,1.37%
24,2074,10,5,4,26,10,1.77%
25,2075,10,5,5,27,10,1.92%
26,2076,10,6,6,28,10,8.08%
27,2077,10,7,6,29,10,3.64%
28,2078,10,8,6,30,10,1.27%
1,2101,11,1,1,3,11,0.00%
2,2102,11,1,2,4,11,0.10%
3,2103,11,1,3,5,11,0.01%
4,2104,11,1,4,6,11,0.10%
5,2105,11,1,5,7,11,0.17%
6,2106,11,2,1,8,11,3.27%
7,2107,11,2,2,9,11,4.50%
8,2108,11,2,3,10,11,1.52%
9,2109,11,2,4,11,11,2.49%
10,2110,11,2,5,12,11,4.78%
11,2111,11,3,1,13,11,0.00%
12,2112,11,3,2,14,11,0.00%
13,2113,11,3,3,15,11,0.11%
14,2114,11,3,4,16,11,0.05%
15,2115,11,3,5,17,11,0.08%
16,2116,11,4,1,18,11,0.09%
17,2117,11,4,2,19,11,0.08%
18,2118,11,4,3,20,11,0.07%
19,2119,11,4,4,21,11,0.07%
20,2120,11,4,5,22,11,0.13%
21,2121,11,5,1,23,11,0.64%
22,2122,11,5,2,24,11,0.84%
23,2123,11,5,3,25,11,0.72%
24,2124,11,5,4,26,11,0.69%
25,2125,11,5,5,27,11,1.07%
26,2126,11,6,6,28,11,4.86%
27,2127,11,7,6,29,11,1.53%
28,2128,11,8,6,30,11,0.56%
1,2151,12,1,1,3,12,0.00%
2,2152,12,1,2,4,12,0.04%
3,2153,12,1,3,5,12,0.02%
4,2154,12,1,4,6,12,0.01%
5,2155,12,1,5,7,12,0.02%
6,2156,12,2,1,8,12,0.00%
7,2157,12,2,2,9,12,0.99%
8,2158,12,2,3,10,12,0.54%
9,2159,12,2,4,11,12,0.75%
10,2160,12,2,5,12,12,1.27%
11,2161,12,3,1,13,12,0.00%
12,2162,12,3,2,14,12,0.00%
13,2163,12,3,3,15,12,0.00%
14,2164,12,3,4,16,12,0.00%
15,2165,12,3,5,17,12,0.01%
16,2166,12,4,1,18,12,0.00%
17,2167,12,4,2,19,12,0.04%
18,2168,12,4,3,20,12,0.01%
19,2169,12,4,4,21,12,0.02%
20,2170,12,4,5,22,12,0.03%
21,2171,12,5,1,23,12,0.25%
22,2172,12,5,2,24,12,0.16%
23,2173,12,5,3,25,12,0.10%
24,2174,12,5,4,26,12,0.21%
25,2175,12,5,5,27,12,0.26%
26,2176,12,6,6,28,12,1.69%
27,2177,12,7,6,29,12,0.22%
28,2178,12,8,6,30,12,0.10%
1,2201,13,1,1,3,13,0.00%
2,2202,13,1,2,4,13,0.02%
3,2203,13,1,3,5,13,0.00%
4,2204,13,1,4,6,13,0.00%
5,2205,13,1,5,7,13,0.01%
6,2206,13,2,1,8,13,0.81%
7,2207,13,2,2,9,13,0.13%
8,2208,13,2,3,10,13,0.15%
9,2209,13,2,4,11,13,0.23%
10,2210,13,2,5,12,13,0.34%
11,2211,13,3,1,13,13,0.00%
12,2212,13,3,2,14,13,0.00%
13,2213,13,3,3,15,13,0.00%
14,2214,13,3,4,16,13,0.00%
15,2215,13,3,5,17,13,0.00%
16,2216,13,4,1,18,13,0.00%
17,2217,13,4,2,19,13,0.00%
18,2218,13,4,3,20,13,0.00%
19,2219,13,4,4,21,13,0.00%
20,2220,13,4,5,22,13,0.00%
21,2221,13,5,1,23,13,0.11%
22,2222,13,5,2,24,13,0.03%
23,2223,13,5,3,25,13,0.00%
24,2224,13,5,4,26,13,0.03%
25,2225,13,5,5,27,13,0.04%
26,2226,13,6,6,28,13,0.53%
27,2227,13,7,6,29,13,0.11%
28,2228,13,8,6,30,13,0.02%
